lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1.0,30,nearest,1944.9023742629504,1.1725906925613778,0.2565042139978014,0.0,0.0
1.0,50,nearest,1944.9023742629504,1.1725906925613778,0.2565042139978014,0.0,0.0
1.0,100,nearest,1944.9023742629504,4.873580065958226,0.2565042139978014,0.0,0.0
1.0,120,nearest,1944.9023742629504,5.349945034811286,0.2565042139978014,0.0,0.0
1.0,150,nearest,1944.9023742629504,5.459875412238915,0.9893733968486624,0.0,0.0
1.0,180,nearest,1944.9023742629504,5.789666544521803,3.920850128252107,0.0,0.0
1.0,250,nearest,1944.9023742629504,9.087577867350678,4.543788933675339,0.622938805423232,0.0
1.0,350,nearest,1944.9023742629504,27.81238548919018,5.240014657383657,4.177354342249909,3.5544155368266765
1e-06,30,optimal,1944.9023742629504,1.1725906925613778,0.2565042139978014,0.0,0.0
1e-06,50,optimal,1944.9023742629504,1.1725906925613778,0.2565042139978014,0.0,0.0
1e-06,100,optimal,1944.9023742629504,4.873580065958226,0.2565042139978014,0.0,0.0
1e-06,120,optimal,1944.9023742629504,5.349945034811286,0.2565042139978014,0.0,0.0
1e-06,150,optimal,1944.9023742629504,5.459875412238915,0.9893733968486624,0.0,0.0
1e-06,180,optimal,1944.9023742629504,5.789666544521803,3.920850128252107,0.0,0.0
1e-06,250,optimal,2116.448291381763,16.89263466471235,0.2565042139978014,0.0,0.0
1e-06,350,optimal,2220.138035667449,22.718944668376693,0.2931476731403444,0.0,0.0
1.0,30,optimal,1944.9023742629504,1.1725906925613778,0.2565042139978014,0.0,0.0
1.0,50,optimal,1944.9023742629504,1.1725906925613778,0.2565042139978014,0.0,0.0
1.0,100,optimal,1944.9023742629504,4.873580065958226,0.2565042139978014,0.0,0.0
1.0,120,optimal,1967.2506508916267,5.459875412238915,0.3297911322828875,0.0,0.0
1.0,150,optimal,2116.448291381763,1.1725906925613778,0.2565042139978014,0.0,0.0
1.0,180,optimal,2116.448291381763,2.052033711982411,0.2565042139978014,0.0,0.0
1.0,250,optimal,2234.0877978184144,2.6383290582631,0.2565042139978014,0.0,0.0
1.0,350,optimal,2333.244441924384,11.725906925613778,0.2931476731403444,0.0,0.0
1000000.0,30,optimal,4812.75333198579,1.1359472334188347,0.2565042139978014,0.0,0.0
1000000.0,50,optimal,4812.75333198579,1.1359472334188347,0.2565042139978014,0.0,0.0
1000000.0,100,optimal,4812.75333198579,1.1725906925613778,0.2565042139978014,0.0,0.0
1000000.0,120,optimal,4858.416354171321,1.1725906925613778,0.2565042139978014,0.0,0.0
1000000.0,150,optimal,4932.567372801161,1.209234151703921,0.2565042139978014,0.0,0.0
1000000.0,180,optimal,4886.90435061563,1.1725906925613778,0.2565042139978014,0.0,0.0
1000000.0,250,optimal,4886.90435061563,1.245877610846464,0.2565042139978014,0.0,0.0
1000000.0,350,optimal,4812.75333198579,1.355807988274093,0.2565042139978014,0.0,0.0
10.0,30,optimal,1944.9023742629506,1.1725906925613778,0.2565042139978014,0.0,0.0
10.0,50,optimal,2234.0877978184144,1.1725906925613778,0.2565042139978014,0.0,0.0
10.0,100,optimal,2403.4179885352496,1.1725906925613778,0.2565042139978014,0.0,0.0
10.0,120,optimal,2514.1846937825903,1.1725906925613778,0.2565042139978014,0.0,0.0
10.0,150,optimal,3187.0522634517984,1.245877610846464,0.2565042139978014,0.0,0.0
10.0,180,optimal,3358.911492250103,1.245877610846464,0.2565042139978014,0.0,0.0
10.0,250,optimal,3315.6883718924655,1.245877610846464,0.2565042139978014,0.0,0.0
10.0,350,optimal,3311.445532424317,1.31916452913155,0.2565042139978014,0.0,0.0
100.0,30,optimal,3120.6948052702064,1.1359472334188347,0.2565042139978014,0.0,0.0
100.0,50,optimal,3358.911492250103,1.1359472334188347,0.2565042139978014,0.0,0.0
100.0,100,optimal,3764.6477487995,1.1725906925613778,0.2565042139978014,0.0,0.0
100.0,120,optimal,4117.897484745918,1.1725906925613778,0.2565042139978014,0.0,0.0
100.0,150,optimal,4117.897484745918,1.1725906925613778,0.2565042139978014,0.0,0.0
100.0,180,optimal,4504.256185178121,1.1725906925613778,0.2565042139978014,0.0,0.0
100.0,250,optimal,4667.878040412965,1.282521069989007,0.2565042139978014,0.0,0.0
100.0,350,optimal,4616.047652570967,1.282521069989007,0.2565042139978014,0.0,0.0
1000.0,30,optimal,4117.897484745918,1.1359472334188347,0.2565042139978014,0.0,0.0
1000.0,50,optimal,4504.256185178121,1.1359472334188347,0.2565042139978014,0.0,0.0
1000.0,100,optimal,4616.047652570967,1.1725906925613778,0.2565042139978014,0.0,0.0
1000.0,120,optimal,4812.75333198579,1.1725906925613778,0.2565042139978014,0.0,0.0
1000.0,150,optimal,4653.741424444277,1.1725906925613778,0.2565042139978014,0.0,0.0
1000.0,180,optimal,4915.466090334783,1.1725906925613778,0.2565042139978014,0.0,0.0
1000.0,250,optimal,4913.994847874332,1.282521069989007,0.2565042139978014,0.0,0.0
1000.0,350,optimal,4859.887596631743,1.355807988274093,0.2565042139978014,0.0,0.0
10000.0,30,optimal,4611.804813102819,1.1359472334188347,0.2565042139978014,0.0,0.0
10000.0,50,optimal,4812.75333198579,1.1359472334188347,0.2565042139978014,0.0,0.0
10000.0,100,optimal,4913.994847874332,1.1725906925613778,0.2565042139978014,0.0,0.0
10000.0,120,optimal,4812.75333198579,1.1725906925613778,0.2565042139978014,0.0,0.0
10000.0,150,optimal,4859.887596631743,1.1725906925613778,0.2565042139978014,0.0,0.0
10000.0,180,optimal,4812.75333198579,1.1725906925613778,0.2565042139978014,0.0,0.0
10000.0,250,optimal,4812.75333198579,1.282521069989007,0.2565042139978014,0.0,0.0
10000.0,350,optimal,4982.474414577591,1.4290949065591791,0.3297911322828875,0.0,0.0
100000.0,30,optimal,4812.75333198579,1.1359472334188347,0.2565042139978014,0.0,0.0
100000.0,50,optimal,5105.445403386053,1.1359472334188347,0.2565042139978014,0.0,0.0
100000.0,100,optimal,5613.3225403018005,1.1725906925613778,0.2565042139978014,0.0,0.0
100000.0,120,optimal,4915.466090334783,1.1725906925613778,0.2565042139978014,0.0,0.0
100000.0,150,optimal,5638.695034416043,1.1725906925613778,0.2565042139978014,0.0,0.0
100000.0,180,optimal,4858.416354171321,1.209234151703921,0.2565042139978014,0.0,0.0
100000.0,250,optimal,5672.693117615563,1.282521069989007,0.2565042139978014,0.0,0.0
100000.0,350,optimal,4982.474414577591,1.4290949065591791,0.3297911322828875,0.0,0.0
