lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1.0,30,nearest,3601.794109639712,12.964042759961128,1.2633624878522838,0.097181729834791,0.0194363459669582
1.0,50,nearest,3601.794109639712,17.842565597667637,1.3994169096209912,0.097181729834791,0.0194363459669582
1.0,100,nearest,3601.794109639712,25.811467444120503,6.686103012633625,0.8357628765792031,0.0194363459669582
1.0,120,nearest,3601.794109639712,26.88046647230321,10.515063168124392,1.08843537414966,0.641399416909621
1.0,150,nearest,3601.794109639712,29.87366375121477,15.043731778425656,1.3411078717201166,0.7774538386783285
1.0,180,nearest,3601.794109639712,33.06122448979592,17.29834791059281,3.5957240038872693,0.932944606413994
1.0,250,nearest,3601.794109639712,35.72400388726919,20.31098153547133,10.359572400388728,5.32555879494655
1.0,350,nearest,3601.794109639712,36.90962099125365,26.10301263362488,18.464528668610303,10.806608357628766
1e-06,30,optimal,,,,,
1e-06,50,optimal,,,,,
1e-06,100,optimal,,,,,
1e-06,120,optimal,,,,,
1e-06,150,optimal,,,,,
1e-06,180,optimal,,,,,
1e-06,250,optimal,,,,,
1e-06,350,optimal,,,,,
1.0,30,optimal,,,,,
1.0,50,optimal,,,,,
1.0,100,optimal,,,,,
1.0,120,optimal,,,,,
1.0,150,optimal,,,,,
1.0,180,optimal,,,,,
1.0,250,optimal,,,,,
1.0,350,optimal,,,,,
1000000.0,30,optimal,,,,,
1000000.0,50,optimal,,,,,
1000000.0,100,optimal,,,,,
1000000.0,120,optimal,,,,,
1000000.0,150,optimal,,,,,
1000000.0,180,optimal,,,,,
1000000.0,250,optimal,,,,,
1000000.0,350,optimal,,,,,
