lambda,rating,connection,length,< 0.97,< 0.95,< 0.92,< 0.9
1e-06,30,nearest,541.1939372263587,15.833333333333334,14.705882352941176,11.568627450980392,9.019607843137255
1e-06,50,nearest,541.1939372263587,15.980392156862745,14.852941176470589,12.745098039215685,10.980392156862745
1e-06,100,nearest,541.1939372263587,22.107843137254903,15.147058823529411,13.92156862745098,12.254901960784315
1e-06,120,nearest,541.1939372263587,22.745098039215687,15.147058823529411,14.068627450980392,13.480392156862745
1e-06,150,nearest,541.1939372263587,25.0,15.686274509803921,14.705882352941176,13.92156862745098
1e-06,180,nearest,541.1939372263587,25.980392156862745,21.372549019607842,14.852941176470589,13.92156862745098
1e-06,250,nearest,541.1939372263587,36.61764705882353,23.92156862745098,15.098039215686274,14.852941176470589
1e-06,350,nearest,541.1939372263587,45.09803921568628,25.833333333333332,21.862745098039216,15.784313725490197
1.0,30,nearest,541.1939372263587,15.833333333333334,14.705882352941176,11.568627450980392,9.019607843137255
1.0,50,nearest,541.1939372263587,15.980392156862745,14.852941176470589,12.745098039215685,10.980392156862745
1.0,100,nearest,541.1939372263587,22.107843137254903,15.147058823529411,13.92156862745098,12.254901960784315
1.0,120,nearest,541.1939372263587,22.745098039215687,15.147058823529411,14.068627450980392,13.480392156862745
1.0,150,nearest,541.1939372263587,25.0,15.686274509803921,14.705882352941176,13.92156862745098
1.0,180,nearest,541.1939372263587,25.980392156862745,21.372549019607842,14.852941176470589,13.92156862745098
1.0,250,nearest,541.1939372263587,36.61764705882353,23.92156862745098,15.098039215686274,14.852941176470589
1.0,350,nearest,541.1939372263587,45.09803921568628,25.833333333333332,21.862745098039216,15.784313725490197
1000000.0,30,nearest,541.1939372263587,15.833333333333334,14.705882352941176,11.568627450980392,9.019607843137255
1000000.0,50,nearest,541.1939372263587,15.980392156862745,14.852941176470589,12.745098039215685,10.980392156862745
1000000.0,100,nearest,541.1939372263587,22.107843137254903,15.147058823529411,13.92156862745098,12.254901960784315
1000000.0,120,nearest,541.1939372263587,22.745098039215687,15.147058823529411,14.068627450980392,13.480392156862745
1000000.0,150,nearest,541.1939372263587,25.0,15.686274509803921,14.705882352941176,13.92156862745098
1000000.0,180,nearest,541.1939372263587,25.980392156862745,21.372549019607842,14.852941176470589,13.92156862745098
1000000.0,250,nearest,541.1939372263587,36.61764705882353,23.92156862745098,15.098039215686274,14.852941176470589
1000000.0,350,nearest,541.1939372263587,45.09803921568628,25.833333333333332,21.862745098039216,15.784313725490197
1e-06,30,optimal,541.1939372263587,15.833333333333334,14.705882352941176,11.568627450980392,9.019607843137255
1e-06,50,optimal,541.1939372263587,15.980392156862745,14.852941176470589,12.745098039215685,10.980392156862745
1e-06,100,optimal,541.1939372263587,22.107843137254903,15.147058823529411,13.92156862745098,12.254901960784315
1e-06,120,optimal,541.1939372263587,22.745098039215687,15.147058823529411,14.068627450980392,13.480392156862745
1e-06,150,optimal,541.1939372263587,25.0,15.686274509803921,14.705882352941176,13.92156862745098
1e-06,180,optimal,541.1939372263587,25.980392156862745,21.372549019607842,14.852941176470589,13.92156862745098
1e-06,250,optimal,541.1939372263587,36.61764705882353,23.92156862745098,15.098039215686274,14.852941176470589
1e-06,350,optimal,646.281444980239,45.09803921568628,26.07843137254902,17.15686274509804,15.53921568627451
1.0,30,optimal,541.1939372263587,15.833333333333334,14.705882352941176,11.568627450980392,9.019607843137255
1.0,50,optimal,541.1939372263587,15.980392156862745,14.852941176470589,12.745098039215685,10.980392156862745
1.0,100,optimal,541.1939372263587,22.107843137254903,15.147058823529411,13.92156862745098,12.254901960784315
1.0,120,optimal,541.1939372263587,22.745098039215687,15.147058823529411,14.068627450980392,13.480392156862745
1.0,150,optimal,564.4548251862434,25.0,15.686274509803921,14.705882352941176,13.92156862745098
1.0,180,optimal,667.5332839514303,25.784313725490197,16.519607843137255,14.852941176470589,13.92156862745098
1.0,250,optimal,667.5332839514303,33.48039215686274,25.098039215686274,15.098039215686274,14.852941176470589
1.0,350,optimal,932.3289763901266,29.558823529411764,25.58823529411765,16.42156862745098,15.294117647058824
1000000.0,30,optimal,4325.482971980586,15.049019607843137,13.823529411764707,10.784313725490197,7.696078431372549
1000000.0,50,optimal,4856.011813638674,15.049019607843137,13.823529411764707,10.882352941176471,7.696078431372549
1000000.0,100,optimal,3879.1497999496787,15.294117647058824,13.970588235294118,10.931372549019608,7.794117647058823
1000000.0,120,optimal,4829.105639265283,15.343137254901961,13.970588235294118,11.22549019607843,7.794117647058823
1000000.0,150,optimal,4872.6855825240345,15.441176470588236,13.970588235294118,11.22549019607843,7.8431372549019605
1000000.0,180,optimal,5018.1429159000545,15.441176470588236,14.117647058823529,11.22549019607843,7.8431372549019605
1000000.0,250,optimal,4845.789606235237,15.490196078431373,14.411764705882353,11.372549019607844,7.990196078431373
1000000.0,350,optimal,4647.719229672337,15.735294117647058,14.607843137254902,11.666666666666666,10.245098039215685
